"","rank","Youtuber","subscribers","video.views","category","Title","uploads","Country","Abbreviation","channel_type","video_views_rank","country_rank","channel_type_rank","video_views_for_the_last_30_days","lowest_monthly_earnings","highest_monthly_earnings","lowest_yearly_earnings","highest_yearly_earnings","subscribers_for_last_30_days","created_year","created_month","created_date","Gross.tertiary.education.enrollment....","Population","Unemployment.rate","Urban_population","Latitude","Longitude"
"847",847,"Vijay Kumar Viner Vlogs",16.4182002434087,22.797540537462,"Entertainment","Vijay Kumar Viner Vlogs",1357,"India","IN","Entertainment",663,116,162,18.5142894771169,10.2219412836547,12.9929378299639,12.7050280967257,15.4832173785224,3e+05,2019,"Mar",22,28.1,21.0354583741811,5.36,2.9942529593165,20.593684,78.96288
"848",848,"Conor Maynard",16.4182002434087,21.7352279168503,"Music","Conor Maynard",321,"USA","US","Music",3257,165,140,16.1938522633576,7.90100705199242,10.6712782760918,10.3859137017804,13.1573443462996,349153.834094369,2006,"May",19,88.2,19.6092541528922,14.7,2.96611730578511,37.09024,-95.712891
"849",849,"Wengie",16.4182002434087,21.3652633091256,"Howto & Style","Wengie",462,"USA","US","Howto",5297,165,30,14.1044418498165,5.8111409929767,8.57546209954021,8.29404964010203,11.0681996429088,1e+05,2010,"Sep",9,88.2,19.6092541528922,14.7,2.96611730578511,37.09024,-95.712891
"850",850,"Vlad y Niki Show",16.4107652649211,22.2542294185108,"nan","Vlad y Niki Show",477,"USA","US","Entertainment",1537,166,162,18.3397743300586,10.0475878965099,12.8182808835848,12.530689165775,15.2971150988885,2e+05,2018,"Nov",8,88.2,19.6092541528922,14.7,2.96611730578511,37.09024,-95.712891
"851",851,"Codiscos",16.4107652649211,23.1904902953991,"Music","Codiscos",7356,"Colombia","CO","Music",330,9,140,19.2488045223246,10.9543091773679,13.7273348670605,13.4396527946088,16.2134058307626,1e+05,2007,"Feb",8,55.3,17.7342994828506,9.71,2.86362053458697,4.570868,-74.297333
"852",852,"The World Adventures ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½",16.4107652649211,21.48396381437,"People & Blogs","The World Adventures ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½",1028,"India","IN","People",4540,116,53,13.8576117339829,5.56452040732269,8.34283980427146,8.03915739047324,10.821776287073,349153.834094369,2016,"Sep",9,28.1,21.0354583741811,5.36,2.9942529593165,20.593684,78.96288
"853",853,"Vibhu 96",16.4107652649211,16.8390222846664,"nan","Vibhu 96",256,"India","IN","Education",342460,114,40,16.8243564706636,8.53699581871242,11.3034382401035,11.0153450679543,13.7878309888575,3e+05,2022,"Jun",5,28.1,21.0354583741811,5.36,2.9942529593165,20.593684,78.96288
"854",854,"Blockbuster Movies",16.4107652649211,21.6978485751683,"Entertainment","Blockbuster Movies",0,"India","IN","nan",4057944,5589,-1,18.9869778094495,-4.60517018598809,-4.60517018598809,-4.60517018598809,-4.60517018598809,349153.834094369,2017,"Jul",4,28.1,21.0354583741811,5.36,2.9942529593165,20.593684,78.96288
"855",855,"ATHLEAN-Xï¿½",16.4107652649211,21.5646242883411,"Howto & Style","ATHLEAN-Xï¿½",1349,"USA","US","Howto",4039,166,31,16.489521266843,8.1886891244442,10.9681982895286,10.6805162170768,13.4529612508329,349153.834094369,2006,"Dec",16,88.2,19.6092541528922,14.7,2.96611730578511,37.09024,-95.712891
"856",856,"My Mate Nate",16.4107652649211,21.9362880484949,"Comedy","My Mate Nate",1195,"Thailand","TH","Entertainment",2436,15,162,17.5453399984072,9.24956108512946,12.0239510687389,11.7360690162844,14.5086577385242,349153.834094369,2014,"Dec",8,49.3,18.0586426152432,0.75,2.85527642128164,15.870032,100.992541
"857",857,"H2ODelirious",16.4107652649211,22.194977563127,"Gaming","H2ODelirious",3727,"USA","US","Games",1683,166,62,16.6359961883963,8.34283980427146,11.1139393229598,10.8277464540595,13.5994667437653,349153.834094369,2007,"May",24,88.2,19.6092541528922,14.7,2.96611730578511,37.09024,-95.712891
"858",858,"GMA Integrated News",16.4107652649211,22.981879689037,"News & Politics","GMA Integrated News",296272,"Philippines","PH","News",486,10,22,18.5644260465514,10.2715968741005,13.0428871759025,12.7553494556704,15.5202586502027,1e+05,2007,"Oct",29,35.5,18.4987209710763,2.15,2.87620880108765,12.879721,121.774017
"859",859,"Peet Montzingo",16.4107652649211,23.028104148436,"People & Blogs","Peet Montzingo",319,"USA","US","People",433,165,52,19.8012462263387,11.5069073926447,14.28551418721,13.9978321147582,16.7651988930169,5e+05,2014,"Jun",1,88.2,19.6092541528922,14.7,2.96611730578511,37.09024,-95.712891
"860",860,"The Q",16.4107652649211,22.1833245878988,"People & Blogs","Tom Duggan",96,"USA","US","Sports",3846885,7615,4466,1.09861228866811,-4.60517018598809,-4.60517018598809,-4.60517018598809,-1.96611285637283,1,2006,"Jan",17,88.2,19.6092541528922,14.7,2.96611730578511,37.09024,-95.712891
"861",861,"Trakin Tech",16.403274593192,21.5398205362831,"Science & Technology","Trakin Tech",3640,"India","IN","Tech",4152,116,16,17.5921490261842,9.29651806821724,12.0708254961221,11.7829526021833,14.5574479026937,1e+05,2011,"Nov",2,28.1,21.0354583741811,5.36,2.9942529593165,20.593684,78.96288
