"","rank","Youtuber","subscribers","video.views","category","Title","uploads","Country","Abbreviation","channel_type","video_views_rank","country_rank","channel_type_rank","video_views_for_the_last_30_days","lowest_monthly_earnings","highest_monthly_earnings","lowest_yearly_earnings","highest_yearly_earnings","subscribers_for_last_30_days","created_year","created_month","created_date","Gross.tertiary.education.enrollment....","Population","Unemployment.rate","Urban_population","Latitude","Longitude"
"1",1,"T-Series",19.316768768509,26.1526114659009,"Music","T-Series",20082,"India","IN","Music",1,1,1,21.5377453026739,13.2438727948015,16.0127351353005,15.7324331701463,18.5013386469698,2e+06,2006,"Mar",13,28.1,21.0354583741811,5.36,2.9942529593165,20.593684,78.96288
"3",3,"MrBeast",18.9274983463208,24.0685572625864,"Entertainment","MrBeast",741,"USA","US","Entertainment",48,1,1,21.0218878494365,12.7278382093345,15.5019095115345,15.2018049190842,17.9852717594711,8e+06,2012,"Feb",20,88.2,19.6092541528922,14.7,2.96611730578511,37.09024,-95.712891
"4",4,"Cocomelon - Nursery Rhymes",18.9031068931967,25.8231322647706,"Education","Cocomelon - Nursery Rhymes",966,"USA","US","Education",2,2,1,21.4038342352995,13.1098858558932,15.8823733174372,15.5904629088759,18.3672799672253,1e+06,2006,"Sep",1,88.2,19.6092541528922,14.7,2.96611730578511,37.09024,-95.712891
"5",5,"SET India",18.8844147601845,25.7204781107105,"Shows","SET India",116536,"India","IN","Entertainment",3,2,2,21.3242977285986,13.0300287662015,15.8033849061186,15.5202586502027,18.2871493513278,1e+06,2006,"Sep",20,28.1,21.0354583741811,5.36,2.9942529593165,20.593684,78.96288
"7",7,"ýýý Kids Diana Show",18.5340094292594,25.2585181581195,"People & Blogs","ýýý Kids Diana Show",1111,"USA","US","Entertainment",5,3,3,20.4108456175343,12.116694834379,14.8802212949567,14.6039679183285,17.3737116884361,349153.834094369,2015,"May",12,88.2,19.6092541528922,14.7,2.96611730578511,37.09024,-95.712891
"8",8,"PewDiePie",18.5250407592766,24.0925611991904,"Gaming","PewDiePie",4716,"Japan","JP","Entertainment",44,1,4,17.4837790581741,9.19013766465866,11.9620884283441,11.6750443144467,14.4573644441367,349153.834094369,2010,"Apr",29,63.2,18.6535890088939,2.29,2.92139783610444,36.204824,138.252924
"9",9,"Like Nastya",18.4789496520763,25.2283842799625,"People & Blogs","Like Nastya Vlog",493,"Russia","RU","People",630,5,25,17.7062486380351,9.40919123072135,12.1848490090785,11.8968263951626,14.6484196808994,1e+05,2016,"Jan",14,81.9,18.7879144920027,4.59,2.91748477441736,61.52401,105.318756
"10",10,"Vlad and Niki",18.4096197965929,25.0694083943232,"Entertainment","Vlad and Niki",574,"USA","US","Entertainment",8,5,6,20.1795278272913,11.8851784388723,14.6484196808994,14.3461388090264,17.1441372467916,6e+05,2018,"Apr",23,88.2,19.6092541528922,14.7,2.96611730578511,37.09024,-95.712891
"11",11,"Zee Music Company",18.3871239604235,24.7812280034493,"Music","Zee Music Company",8548,"India","IN","Music",12,3,2,20.5046283679768,12.210562550803,14.97866136777,14.6909792953182,17.4687628344351,1100000,2014,"Mar",12,28.1,21.0354583741811,5.36,2.9942529593165,20.593684,78.96288
"12",12,"WWE",18.3798587494321,25.072620426662,"Sports","WWE",70127,"USA","US","Sports",7,6,1,20.3872530947415,12.0934637011475,14.8802212949567,14.5574479026937,17.3506559121362,6e+05,2007,"May",11,88.2,19.6092541528922,14.7,2.96611730578511,37.09024,-95.712891
"14",14,"BLACKPINK",18.3130955332724,24.1935102351274,"People & Blogs","BLACKPINK",543,"South Korea","KR","Music",32,1,3,20.0279763633144,11.7336661316681,14.5086577385242,14.2209756660724,16.9893890169017,7e+05,2016,"Jun",29,94.3,17.7611443007857,4.15,2.86537970209776,35.907757,127.766922
"15",15,"Goldmines",18.2802685902356,23.9062338470763,"Film & Animation","goldmines",1,"nan","nan","Music",4056562,-1,5663,2.89037175789616,-4.60517018598809,-2.65926003693278,-2.99573227355399,-0.150822889734584,349153.834094369,2006,"Aug",15,-1,-4.60517018598809,-1,-4.60517018598809,-1,0
"16",16,"Sony SAB",18.2343511657609,25.3383863537877,"Shows","Sony SAB",71270,"India","IN","Entertainment",4,5,7,21.2282745753908,12.9343456280655,15.7025802069967,15.4249484703984,18.1925246508146,1100000,2007,"Aug",4,28.1,21.0354583741811,5.36,2.9942529593165,20.593684,78.96288
"17",17,"5-Minute Crafts",18.1987864120386,23.9904284691879,"Howto & Style","5-Minute Crafts 2.0",1,"UK","GB","Entertainment",4057901,4797,6781,0,-4.60517018598809,-4.60517018598809,-4.60517018598809,-2.99573227355399,349153.834094369,2020,"Jul",27,60,18.017728550827,3.85,2.88139961122265,55.378051,-3.435973
"18",18,"BANGTANTV",18.1409668411498,23.759515768651,"Music","BANGTANTV",2281,"South Korea","KR","Music",112,2,4,18.9411992396893,10.6478030196705,13.4197977412988,13.132115668847,15.9073746196427,4e+05,2012,"Dec",17,94.3,17.7611443007857,4.15,2.86537970209776,35.907757,127.766922
"20",20,"Justin Bieber",18.0866056319309,24.1445311611631,"Music","Justin Bieber",249,"Canada","CA","Music",38,1,6,18.987845112388,10.6942150614349,13.4663785231963,13.1787437108404,15.9555767214605,1e+05,2007,"Jan",15,68.9,17.4262117173895,5.56,2.84708381560522,56.130366,-106.346771
"21",21,"HYBE LABELS",18.0824068853845,24.0778804591577,"Music","HYBE LABELS",1337,"South Korea","KR","Music",46,3,5,20.2093905677353,11.9150516718129,14.6909792953182,14.4032972228664,17.1724076807299,9e+05,2008,"Jun",4,94.3,17.7611443007857,4.15,2.86537970209776,35.907757,127.766922
"22",22,"Zee TV",18.0711232677825,25.0156283218701,"Entertainment","Zee TV",129204,"India","IN","Entertainment",9,6,8,21.2580032807587,12.9640707984097,15.7324331701463,15.4447510976946,18.2210095488233,9e+05,2005,"Dec",11,28.1,21.0354583741811,5.36,2.9942529593165,20.593684,78.96288
"23",23,"Pinkfong Baby Shark - Kids' Songs & Stories",18.0379551228137,24.3827996376482,"Education","Pinkfong Baby Shark - Kids' Songs & Stories",2865,"USA","US","Education",23,8,2,19.9754237937461,11.6809790499665,14.4573644441367,14.1519827945855,16.9378754824516,6e+05,2011,"Dec",14,88.2,19.6092541528922,14.7,2.96611730578511,37.09024,-95.712891
"24",24,"Canal KondZilla",18.0127125056261,24.3281000360058,"Music","Canal KondZilla",2572,"Brazil","BR","Music",25,1,7,19.9185679096096,-4.60517018598809,-4.60517018598809,-4.60517018598809,-4.60517018598809,349153.834094369,2012,"Mar",21,51.3,19.1747321166571,12.08,2.94582308834056,-14.235004,-51.92528
"25",25,"ChuChu TV Nursery Rhymes & Kids Songs",18.0036489994727,24.546629203653,"Education","ChuChu TV Nursery Rhymes & Kids Songs",633,"India","IN","Education",18,7,3,19.8564602657709,11.562667556865,14.3461388090264,14.0778748224318,16.8211931623714,5e+05,2013,"Feb",9,28.1,21.0354583741811,5.36,2.9942529593165,20.593684,78.96288
"26",26,"Shemaroo Filmi Gaane",17.9990862539143,24.0783503227209,"Music","Shemaroo Filmi Gaane",8502,"India","IN","Music",47,8,8,19.3566211502495,11.0619398415603,13.8155105579643,13.54750038531,16.3169465097035,4e+05,2010,"Jun",11,28.1,21.0354583741811,5.36,2.9942529593165,20.593684,78.96288
"27",27,"Colors TV",17.9837249687528,24.8424803368001,"Shows","Colors TV",112915,"India","IN","Entertainment",10,9,9,20.8955370578869,12.6011506607519,15.3841264758781,15.0964444034263,17.8585618257988,1100000,2008,"Jun",13,28.1,21.0354583741811,5.36,2.9942529593165,20.593684,78.96288
"28",28,"T-Series Bhakti Sagar",17.9263844221376,24.108781918118,"Music","T- SERIES BHAKTI SAGAR",13,"India","IN","Music",4053938,5803,5744,2.30258509299405,-4.60517018598809,-3.2188758248682,-3.50655789731998,-0.7339691750802,349153.834094369,2018,"Aug",3,28.1,21.0354583741811,5.36,2.9942529593165,20.593684,78.96288
"29",29,"Dude Perfect",17.9014868705159,23.5108385586329,"Sports","Dude Perfect",389,"USA","US","Sports",182,9,3,18.7656878830234,10.4716382429214,13.2442269651612,12.9565448927094,15.7324331701463,1e+05,2009,"Mar",17,88.2,19.6092541528922,14.7,2.96611730578511,37.09024,-95.712891
"30",30,"Movieclips",17.9014868705159,24.8061528911199,"Film & Animation","Movieclips",39113,"USA","US","Film",11,9,3,18.5575515545089,10.2646524017477,13.0361516805853,12.7483969363555,15.5202586502027,1e+05,2006,"Apr",28,88.2,19.6092541528922,14.7,2.96611730578511,37.09024,-95.712891
"31",31,"Tips Official",17.898119863968,24.2327734604833,"Music","Tips Official",4741,"India","IN","Music",30,11,10,19.8620171142403,11.5683601718583,14.3461388090264,14.0778748224318,16.826131444012,6e+05,2007,"May",22,28.1,21.0354583741811,5.36,2.9942529593165,20.593684,78.96288
"32",32,"El Reino Infantil",17.8828264477985,24.7710712393916,"Music","El Reino Infantil",1510,"Argentina","AR","Music",13,1,11,20.2319617552242,11.9381932003746,14.6909792953182,14.4032972228664,17.1965052323089,6e+05,2011,"Jun",2,90,17.6208101638746,9.79,2.86433179376721,-38.416097,-63.616672
"33",33,"Wave Music",17.8759535685107,24.4270836619959,"Music","Wave Music",19487,"India","IN","Music",21,12,12,19.2623556824457,10.9681982895286,13.7408947645835,13.4532486071568,16.2224556662826,5e+05,2014,"Oct",29,28.1,21.0354583741811,5.36,2.9942529593165,20.593684,78.96288
"34",34,"Aaj Tak",17.8690331256661,23.9543766495239,"News & Politics","Aaj Tak",283775,"India","IN","News",71,13,1,19.949229590653,11.6552927062571,14.4032972228664,14.1519827945855,16.911088166488,5e+05,2009,"Aug",27,28.1,21.0354583741811,5.36,2.9942529593165,20.593684,78.96288
"35",35,"Sony Music India",17.86206445635,24.0849301332268,"Music","Sony Music India",3882,"India","IN","Music",45,14,13,19.3735348151336,11.0790608823404,13.8155105579643,13.5643532601949,16.3332070305753,3e+05,2009,"Sep",2,28.1,21.0354583741811,5.36,2.9942529593165,20.593684,78.96288
"36",36,"EminemMusic",17.8568058990966,24.0218349985329,"Music","EminemMusic",156,"USA","US","Music",59,10,14,19.376934221298,11.0821425488778,13.8155105579643,13.5678181337287,16.3412392022725,3e+05,2007,"Feb",9,88.2,19.6092541528922,14.7,2.96611730578511,37.09024,-95.712891
"37",37,"Marshmello",17.8479797164683,23.4108414045789,"Entertainment","Marshmello",436,"USA","US","Music",233,11,15,18.5349018880424,10.2399597891573,13.0134409701801,12.7257588977284,15.5019095115345,1e+05,2015,"Apr",6,88.2,19.6092541528922,14.7,2.96611730578511,37.09024,-95.712891
"38",38,"YRF",17.8155444407151,24.2872123595173,"Film & Animation","YRF",3707,"India","IN","Music",28,15,16,20.0540168071341,11.7597855429018,14.5086577385242,14.2209756660724,17.0182570009026,5e+05,2006,"Jun",7,28.1,21.0354583741811,5.36,2.9942529593165,20.593684,78.96288
"39",39,"LooLoo Kids - Nursery Rhymes and Children's Songs",17.8044946045285,24.1987178612128,"Music","LooLoo Kids - Nursery Rhymes and Children's ï¿½",11,"nan","nan","nan",3800129,-1,-1,5.06890420222023,-3.2188758248682,-0.44628710262842,-0.7339691750802,2.07944154167984,349153.834094369,2016,"Nov",29,-1,-4.60517018598809,-1,-4.60517018598809,-1,0
"40",40,"Ed Sheeran",17.7951922118662,24.1366446144279,"Music","Ed Sheeran",383,"UK","GB","Music",39,1,18,19.1273362745371,10.8336811895793,13.6059000209326,13.3182590542254,16.0876364434736,1e+05,2006,"Aug",8,60,18.017728550827,3.85,2.88139961122265,55.378051,-3.435973
"41",41,"Infobells - Hindi",17.7914468891361,24.1415226337626,"Education","Infobells - Hindi",577,"India","IN","Education",37,16,4,20.5198624109752,12.2258752728264,15.0094330264367,14.6909792953182,17.4841873047607,1600000,2014,"Jun",6,28.1,21.0354583741811,5.36,2.9942529593165,20.593684,78.96288
"42",42,"Taylor Swift",17.7839138968285,24.1206110513971,"Music","Taylor Swift",216,"USA","US","Music",40,13,19,20.0853489904524,11.7913144905104,14.5574479026937,14.28551418721,17.0502597319888,8e+05,2006,"Sep",20,88.2,19.6092541528922,14.7,2.96611730578511,37.09024,-95.712891
"43",43,"Ariana Grande",17.7801260135116,23.9015214222738,"Music","Ariana Grande",147,"USA","US","Music",78,14,20,18.8920334627674,10.5991316132947,13.3706287174923,13.0827906022845,15.8567308868239,1e+05,2007,"Jan",22,88.2,19.6092541528922,14.7,2.96611730578511,37.09024,-95.712891
"44",44,"BillionSurpriseToys  - Nursery Rhymes & Cartoons",17.7705930528529,23.0135116404706,"Education","BillionSurpriseToys  - Nursery Rhymes & Cartï¿½",847,"USA","US","Education",450,15,5,19.4018112015974,11.1079602319037,13.9108207377686,13.5926169754053,16.3649557288898,6e+05,2013,"Oct",25,88.2,19.6092541528922,14.7,2.96611730578511,37.09024,-95.712891
"45",45,"JuegaGerman",17.688792735076,23.4064569480167,"Gaming","JuegaGerman",2052,"Chile","CL","Games",237,1,2,18.0110268752227,9.71715797434464,12.4897466965844,12.2020646241326,14.97866136777,2e+05,2013,"May",19,88.5,16.7574220298842,7.09,2.8109390813356,-35.675147,-71.542969
"46",46,"Billie Eilish",17.6846260623811,23.3352698652746,"Music","Billie Eilish",65,"USA","US","Music",263,16,21,18.8050039283071,10.5105320340427,13.2834612977467,12.9958927133504,15.7614207070196,2e+05,2013,"Feb",6,88.2,19.6092541528922,14.7,2.96611730578511,37.09024,-95.712891
"47",47,"Get Movies",17.6762402690049,24.1504129118313,"Entertainment","Get Movies",3322,"Russia","RU","Film",35,1,4,19.540858810535,11.2463523557287,13.9978321147582,13.7316940718712,16.503358051749,7e+05,2006,"Dec",16,81.9,18.7879144920027,4.59,2.91748477441736,61.52401,105.318756
"48",48,"Shemaroo",17.6741327866653,23.8376565487912,"Entertainment","Shemaroo",11451,"India","IN","Entertainment",97,17,10,19.2654496950566,10.9716406337195,13.7440145562592,13.4562608736531,16.2314243362653,5e+05,2007,"Sep",1,28.1,21.0354583741811,5.36,2.9942529593165,20.593684,78.96288
"49",49,"Badabun",17.6613937608879,23.6884381609311,"Entertainment","badabun",1,"nan","nan","Music",4047729,-1,5525,6.08677472691231,-2.20727491318972,0.693147180559945,0,3.04452243772342,75,2007,"Jul",21,-1,-4.60517018598809,-1,-4.60517018598809,-1,0
"50",50,"SonyMusicIndiaVEVO",17.6571110990959,24.0296417422926,"Music","SonyMusicIndiaVEVO",3444,"USA","US","Music",55,17,22,19.5665105322296,11.2721269784173,14.0778748224318,13.7573516437907,16.5302053017852,4e+05,2009,"Sep",2,88.2,19.6092541528922,14.7,2.96611730578511,37.09024,-95.712891
"51",51,"A4",17.6506525190565,23.856001068332,"Gaming","aefour",1,"Cuba","CU","People",4053056,99,5359,4.54329478227,-3.91202300542815,-0.967584026261706,-1.27296567581289,1.6094379124341,10,2006,"Mar",11,41.4,16.2432719997075,1.64,2.77154578935443,21.521757,-77.781167
"52",52,"Bad Bunny",17.6463235079669,24.1470835169504,"Music","badbunny",1,"nan","nan","Sports",4046070,-1,4501,0,-4.60517018598809,-4.60517018598809,-4.60517018598809,-2.99573227355399,349153.834094369,2005,"Nov",15,-1,-4.60517018598809,-1,-4.60517018598809,-1,0
"53",53,"Fernanfloo",17.6463235079669,23.0576781857412,"Gaming","Fernanfloo",543,"El Salvador","SV","Games",419,1,3,17.3372131926107,9.04782144247841,11.8159886394603,11.527814077464,14.28551418721,2e+05,2011,"May",2,29.4,15.6801413898215,4.11,2.73189336012003,13.794185,-88.89653
"54",54,"Voot Kids",17.6332228839212,23.7861297616776,"Entertainment","Voot Kids",4660,"India","IN","Entertainment",105,18,13,19.2707803899557,10.9767820332199,13.7493707554597,13.4616886830079,16.2314243362653,4e+05,2016,"Nov",23,28.1,21.0354583741811,5.36,2.9942529593165,20.593684,78.96288
"55",55,"Felipe Neto",17.6266076448025,23.5328009496257,"Entertainment","Felipe Neto",4331,"Brazil","BR","Entertainment",174,2,14,18.6858027408395,10.3920675673548,13.1642727804815,12.8767185607436,15.6560601913618,2e+05,2006,"May",16,51.3,19.1747321166571,12.08,2.94582308834056,-14.235004,-51.92528
"56",56,"Vocï¿½ï¿½ï¿½",17.6154840595838,22.7810509146061,"Entertainment","Vocï¿½ï¿½ï¿½",1558,"Brazil","BR","Entertainment",681,3,15,17.6873780134153,9.39266192877014,12.1657713487566,11.8782627819876,14.6484196808994,1e+05,2013,"Sep",1,51.3,19.1747321166571,12.08,2.94582308834056,-14.235004,-51.92528
"57",57,"HAR PAL GEO",17.6132444169903,24.4402236380414,"Entertainment","HAR PAL GEO",100755,"Pakistan","PK","Entertainment",20,1,15,21.0136941350662,12.7197940724082,15.4832173785224,15.2018049190842,17.9775137686602,1300000,2008,"Jan",2,9,19.1934027596736,4.45,2.90123662146597,30.375321,69.345116
"58",58,"BRIGHT SIDE",17.6109997471365,23.0943066267616,"Howto & Style","brightside",0,"nan","nan","nan",4057944,-1,-1,18.9869778094495,-4.60517018598809,-4.60517018598809,-4.60517018598809,-4.60517018598809,1,2005,"Nov",18,-1,-4.60517018598809,-1,-4.60517018598809,-1,0
"59",59,"Katy Perry",17.6042353470479,23.9603332674846,"Music","Katy Perry",128,"USA","US","Music",70,19,24,18.7151546992611,10.4222813459513,13.193753373491,12.9059471468395,15.6718085483299,1e+05,2008,"Jun",1,88.2,19.6092541528922,14.7,2.96611730578511,37.09024,-95.712891
"60",60,"whinderssonnunes",17.6042353470479,22.175981915969,"Comedy","whinderssonnunes",558,"Brazil","BR","Comedy",1741,4,1,17.0995372164685,8.80986280537906,11.5777764372898,11.2910311330565,14.0778748224318,349153.834094369,2013,"Jan",21,51.3,19.1747321166571,12.08,2.94582308834056,-14.235004,-51.92528
"61",61,"ABS-CBN Entertainment",17.6042353470479,24.6411226007083,"People & Blogs","ABS-CBN Entertainment",193890,"Philippines","PH","Entertainment",16,1,16,18.9895620455632,10.6964800680658,13.4680784811067,13.1804435884809,15.9555767214605,3e+05,2008,"Jul",16,35.5,18.4987209710763,2.15,2.87620880108765,12.879721,121.774017
"62",62,"Alan Walker",17.5928586600658,23.2792726191201,"Music","alanwalker",8,"Thailand","TH","Film",4056116,4026,5270,3.09104245335832,-4.60517018598809,-2.40794560865187,-2.65926003693278,0,349153.834094369,2006,"May",12,49.3,18.0586426152432,0.75,2.85527642128164,15.870032,100.992541
"63",63,"HolaSoyGerman.",17.5905677083193,22.2983837470631,"Entertainment","holasoygerman. 2",6,"nan","nan","People",4047806,-1,7716,1.38629436111989,-4.60517018598809,-3.91202300542815,-4.60517018598809,-1.66073120682165,349153.834094369,2016,"May",27,-1,-4.60517018598809,-1,-4.60517018598809,-1,0
"64",64,"Shakira",17.5882714960589,24.0399489864287,"People & Blogs","Shakira",326,"Colombia","CO","Howto",52,1,3,19.6831450731308,11.3896272486257,14.1519827945855,13.9108207377686,16.6487239020205,5e+05,2005,"Oct",16,55.3,17.7342994828506,9.71,2.86362053458697,4.570868,-74.297333
"65",65,"ýýýýýýýý ýý ýýýýýýýýýýýýýý",17.5813510532143,24.3194466899538,"Film & Animation","ýýýýýýýý ýý ýýýýýýýýýýýýýý",1478,"Russia","RU","Education",26,2,6,19.5318143131741,11.2371719633837,13.9978321147582,13.7226274304842,16.4965320866786,3e+05,2011,"May",31,81.9,18.7879144920027,4.59,2.91748477441736,61.52401,105.318756
"66",66,"ARY Digital HD",17.5813510532143,24.359266020862,"Entertainment","ARY Digital HD",109871,"Pakistan","PK","Entertainment",24,2,18,20.862157835813,12.5682822449674,15.3415668614593,15.0392859895864,17.8264735112473,9e+05,2016,"Jul",11,9,19.1934027596736,4.45,2.90123662146597,30.375321,69.345116
"67",67,"Speed Records",17.5650146338946,24.0124473690435,"Music","Speed Records",10938,"India","IN","Music",62,19,26,18.8891644687283,10.594131602878,13.3676597333597,13.0800819851477,15.8567308868239,1e+05,2012,"Nov",22,28.1,21.0354583741811,5.36,2.9942529593165,20.593684,78.96288
"68",68,"Masha and The Bear",17.5626589202022,23.9227151017067,"Shows","Masha and The Bear",1218,"USA","US","Film",74,20,5,20.3234731104196,12.0293354670301,14.8087623309746,14.5086577385242,17.2874770105146,1e+06,2014,"Sep",17,88.2,19.6092541528922,14.7,2.96611730578511,37.09024,-95.712891
"69",69,"Like Nastya Show",17.5626589202022,23.6961232744901,"Entertainment","Like Nastya Show",618,"USA","US","Entertainment",128,21,19,17.7896065475902,9.49551931420985,12.2681080364496,11.9804259639978,14.7710220029917,349153.834094369,2017,"Nov",14,88.2,19.6092541528922,14.7,2.96611730578511,37.09024,-95.712891
"70",70,"Rihanna",17.5507963848924,23.8357915827003,"Entertainment","Rihanna",84,"Barbados","BB","Music",98,1,27,19.0245922574408,10.7298535768823,13.5031258728721,13.2154893553938,15.9902622794484,1e+05,2005,"Nov",6,65.4,12.567324598962,10.33,2.43372060028177,13.193887,-59.543198
"71",71,"Ishtar Music",17.5387914387955,23.5916720626097,"Trailers","Ishtar Music",4510,"India","IN","Music",155,20,28,19.0136870958886,10.7188523658203,13.4922703901118,13.2044962069429,15.9788335836248,4e+05,2005,"Sep",22,28.1,21.0354583741811,5.36,2.9942529593165,20.593684,78.96288
"72",72,"Kimberly Loaiza",17.5363730579313,22.4465879853407,"People & Blogs","Kimberly Loaiza",291,"Mexico","MX","People",1157,2,1,18.7336284355266,10.4399809230507,13.2122040814041,12.9244001246204,15.7025802069967,4e+05,2016,"Nov",16,40.2,18.6519037603095,3.42,2.91488062678108,23.634501,-102.552784
"73",73,"Little Baby Bum - Nursery Rhymes & Kids Songs",17.526640621013,24.398320792334,"Education","Little Baby Bum - Nursery Rhymes & Kids Songs",2423,"USA","US","Education",22,22,7,18.4083550942617,10.1145585226161,12.8868941763995,12.5991277335617,15.3630730666803,1e+05,2011,"Jun",22,88.2,19.6092541528922,14.7,2.96611730578511,37.09024,-95.712891
"74",74,"Luisito Comunica",17.519278624572,22.8831892558892,"Comedy","Luis Arturo Villar Sudek",0,"Mexico","MX","Comedy",3612215,3021,-1,18.9869778094495,-4.60517018598809,-4.60517018598809,-4.60517018598809,-4.60517018598809,349153.834094369,2010,"Jun",18,40.2,18.6519037603095,3.42,2.91488062678108,23.634501,-102.552784
"75",75,"elrubiusOMG",17.5143403429314,22.7261686984632,"Gaming","elrubiusOMG",703,"nan","nan","Entertainment",756,-1,21,15.5687024340431,7.24422751560335,10.0475878965099,9.75846178048587,12.5321337308511,349153.834094369,2011,"Dec",20,-1,-4.60517018598809,-1,-4.60517018598809,-1,0
"76",76,"Toys and Colors",17.5118620269169,24.5735209468347,"Entertainment","Toys and colors",4,"nan","nan","People",3989650,-1,7330,1.6094379124341,-4.60517018598809,-3.91202300542815,-3.91202300542815,-1.42711635564015,349153.834094369,2018,"Jun",14,-1,-4.60517018598809,-1,-4.60517018598809,-1,0
"77",77,"shfa2 - ï¿½ï¿½",17.4968617456574,23.8965091218186,"People & Blogs","shfa2 - ï¿½ï¿½",1596,"United Arab Emirates","AE","People",81,1,2,19.3278540380216,11.0332754586727,13.806368900047,13.5187204664818,16.2920489580818,3e+05,2017,"Nov",6,36.8,16.094881167896,2.35,2.76965886054822,23.424076,53.847818
"78",78,"LUCCAS NETO - LUCCAS TOON",17.4892763742682,23.8279667278138,"People & Blogs","LUCCAS NETO- LUCCAS TOON",1,"nan","nan","Games",4057895,-1,7498,0.693147180559945,-4.60517018598809,-4.60517018598809,-4.60517018598809,-2.30258509299405,349153.834094369,2021,"Mar",25,-1,-4.60517018598809,-1,-4.60517018598809,-1,0
"79",79,"CarryMinati",17.4841873047607,21.9153724580685,"Comedy","CarryMinati",186,"India","IN","Comedy",2487,21,2,18.1810012239981,9.88837391472608,12.6596927955254,12.3720107230736,15.1505116246966,7e+05,2014,"Oct",30,28.1,21.0354583741811,5.36,2.9942529593165,20.593684,78.96288
"80",80,"XXXTENTACION",17.4841873047607,23.0753526804913,"Music","XXXTENTACION",133,"USA","US","Music",403,24,29,17.8821755510796,9.58877680769643,12.3605089988346,12.0731125182739,14.8451299751454,1e+05,2015,"Jun",23,88.2,19.6092541528922,14.7,2.96611730578511,37.09024,-95.712891
"81",81,"Super Simple Songs - Kids Songs",17.4841873047607,24.5277236305592,"Education","Super Simple Songs - Kids Songs",744,"Canada","CA","Education",19,2,8,20.1447964312628,11.8508252535826,14.6039679183285,14.3461388090264,17.1076368445721,4e+05,2006,"Sep",8,68.9,17.4262117173895,5.56,2.84708381560522,56.130366,-106.346771
"82",82,"Mikecrack",17.4816330249556,23.5032137682209,"Gaming","Mikecrack",1876,"Spain","ES","Games",188,1,4,19.3918686683648,11.0974100210086,13.9108207377686,13.5826953869533,16.3571125514288,8e+05,2015,"Jul",13,88.9,17.6672904650367,13.96,2.8594075318049,40.463667,-3.74922
"83",83,"WorkpointOfficial",17.4790722040939,24.3104233860393,"Entertainment","WorkpointOfficial",72580,"Thailand","TH","Entertainment",27,1,24,18.6865848894876,10.3920675673548,13.1650396516848,12.8774853339441,15.6560601913618,2e+05,2012,"Nov",5,49.3,18.0586426152432,0.75,2.85527642128164,15.870032,100.992541
"84",84,"GR6 EXPLODE",17.4765048085887,23.948292001879,"Music","GR6 EXPLODE",3043,"Brazil","BR","Music",73,6,30,21.2149086412956,12.9207366695524,15.6873127348659,15.4047457630809,18.1786091827526,1e+05,2014,"Aug",5,51.3,19.1747321166571,12.08,2.94582308834056,-14.235004,-51.92528
"85",85,"TEDx Talks",17.4687628344351,22.7165138198594,"Nonprofits & Activism","TEDx Talks",200933,"USA","US","Nonprofit",768,25,1,17.6362512607885,9.34136863438259,12.115053247143,11.8270060112765,14.6039679183285,1e+05,2009,"Jun",23,88.2,19.6092541528922,14.7,2.96611730578511,37.09024,-95.712891
"86",86,"shfa",17.463568017558,23.7926256809118,"People & Blogs","ýýýýýýýýýý ýýýýýý",982,"Saudi Arabia","SA","Games",150882,774,1454,14.2786154455189,5.98393628068719,8.76405326934776,8.47637119689598,11.2424282172725,2000,2018,"May",24,68,17.3497379399081,5.93,2.84352226295945,23.885942,45.079162
"87",87,"Goldmines Gaane Sune Ansune",17.4609604541509,23.5397633278734,"Music","Goldmines Gaane Sune Ansune",3532,"India","IN","Music",170,22,31,20.518399239877,12.2244036022149,15.0094330264367,14.6909792953182,17.4816330249556,4e+05,2015,"Aug",24,28.1,21.0354583741811,5.36,2.9942529593165,20.593684,78.96288
"88",88,"One Direction",17.4583460735768,23.3332550249694,"Music","21 Savage",11,"USA","US","Music",539848,2904,2594,8.7558950816463,0.693147180559945,3.2188758248682,2.94443897916644,5.72031177660741,100,2016,"Jun",26,88.2,19.6092541528922,14.7,2.96611730578511,37.09024,-95.712891
"89",89,"TheEllenShow",17.4583460735768,23.8481202481943,"Entertainment","TheEllenShow",15672,"USA","US","Entertainment",93,26,26,16.8976039971663,8.61250337122056,11.3759596098971,11.0882775374453,13.8155105579643,349153.834094369,2006,"Nov",21,88.2,19.6092541528922,14.7,2.96611730578511,37.09024,-95.712891
"90",90,"Sony PAL",17.4583460735768,24.0738482726521,"Shows","Sony PAL",24089,"India","IN","Entertainment",49,23,25,19.8459890660846,11.5521461781235,14.3461388090264,13.9978321147582,16.8112428315183,5e+05,2014,"May",9,28.1,21.0354583741811,5.36,2.9942529593165,20.593684,78.96288
"91",91,"Daddy Yankee",17.4530967176907,23.8470137521501,"Music","Daddy Yankee",505,"USA","US","Music",92,27,33,19.1414139082401,10.8473934514433,13.619982173683,13.3323001012313,16.1080453151048,1e+05,2011,"May",16,88.2,19.6092541528922,14.7,2.96611730578511,37.09024,-95.712891
"92",92,"Vlad vï¿½ï¿½ï",17.4504616700527,23.8806981797836,"nan","Vlad vï¿½ï¿½ï",515,"USA","US","Entertainment",84,28,27,19.3130598581802,11.0186291431554,13.7916276175009,13.5039455450492,16.275099399768,2e+05,2018,"Jul",20,88.2,19.6092541528922,14.7,2.96611730578511,37.09024,-95.712891
